system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,0.9991189427312775,1.0,0.999559277214632,0.9997771339425006,1.0,0.9998885545525465,0.9998186434530286,0.9998186434530286,0.9998186434530286,0.9995594066486365,0.9998885628316824,0.9998186434530286
baseline,dev,0.8407515097293671,0.8394372487717731,0.8400938652363393,0.8477749307117084,0.9084388658522918,0.8770591576726446,0.8401631912964642,0.8401631912964642,0.8401631912964642,0.8400942079124931,0.8777576514122151,0.8401631912964641
baseline,test,0.8587479935794543,0.8573717948717948,0.8580593424218124,0.8598342125094197,0.91941982272361,0.8886292834890966,0.8524804177545692,0.8524804177545692,0.8524804177545692,0.8580597102910206,0.8892944395740421,0.8524804177545692
improved,train,0.998414585810543,0.9998015479261758,0.999107585523054,0.9996018315747561,0.9998506496739185,0.9997262251424874,0.9995970341715023,0.9995970341715023,0.9995970341715023,0.9991079064199243,0.9997262354637207,0.9995970341715023
improved,dev,0.8946395563770795,0.8446771378708552,0.8689407540394972,0.8929195804195804,0.910022271714922,0.9013898080741231,0.8752719361856418,0.8752719361856418,0.8752719361856418,0.869419149429144,0.9014438867362085,0.8752719361856419
improved,test,0.8874172185430463,0.8589743589743589,0.8729641693811074,0.8992493085736862,0.9170024174053183,0.9080390983443047,0.881201044386423,0.881201044386423,0.8812010443864231,0.8731185822995041,0.908096941441103,0.881201044386423
